loan_id,customer_id,loan_amount,duration_months,interest_rate,loan_type,paid_on_time
79,4593,32449.67,50,0.1186,cash,1
80,1208,12512.77,8,0.1295,cash,1
81,1110,22244.88,27,0.1567,auto,0
82,4968,5551.59,8,0.1088,home_improvement,0
83,1148,15667.32,15,0.0601,auto,0
84,2802,18227.18,44,0.1224,education,1
85,2586,26668.18,23,0.1026,auto,1
86,4842,18939.85,33,0.1337,auto,0
87,4772,26055.27,20,0.1101,cash,0
88,2464,16894.12,15,0.1625,auto,1
89,225,14800.66,52,0.1224,cash,1
90,4018,12780.66,42,0.0592,cash,1
91,3204,26216.52,53,0.1089,auto,1
92,190,16594.46,10,0.0799,auto,1
93,706,2000.0,17,0.2361,home_improvement,0
94,1457,25721.68,30,,cash,1
95,4238,11636.58,60,0.1734,cash,1
96,1417,21738.72,51,0.1352,cash,1
97,4434,9838.0,34,0.2317,cash,1
98,349,20132.59,15,0.077,cash,0
99,2557,2000.0,58,0.1004,cash,1
100,4761,19696.83,38,0.1956,home_improvement,1
101,3249,12123.48,48,0.1141,cash,1
102,2524,8590.38,26,0.1026,education,1
103,1943,26877.63,47,0.1119,cash,1
104,2965,18931.93,55,0.2366,auto,0
105,1271,17803.01,29,0.2422,auto,1
106,2603,13481.24,41,0.1605,cash,1
107,281,28051.12,48,0.1498,cash,1
108,1243,16087.38,25,0.1792,auto,1
109,3655,33389.66,41,0.1596,cash,1
110,4622,31066.11,32,0.1488,cash,1
111,2130,32827.7,36,0.1175,auto,1
112,3345,28712.12,34,0.1092,cash,1
113,2273,14543.59,18,0.1648,education,0
114,619,20472.05,60,0.147,cash,1
115,4805,18172.4,23,0.2134,cash,1
116,2309,27543.51,46,0.127,auto,1
117,566,19904.64,48,0.0937,auto,1
118,8,17810.81,45,0.0669,cash,1
119,1019,34922.26,17,0.1016,cash,1
120,3374,17053.2,60,0.0681,cash,1
121,1645,14380.06,40,0.1974,cash,0
122,2618,16382.47,14,0.1187,cash,1
123,824,29641.1,39,0.1016,cash,1
124,4521,21690.06,31,0.164,cash,0
125,4862,24126.09,44,0.2375,auto,1
126,4737,22123.97,58,0.1187,cash,0
127,3114,2000.0,19,0.0833,cash,0
128,491,10380.71,52,0.1202,home_improvement,1
129,597,17491.09,52,0.0471,cash,0
130,448,22832.73,17,0.1657,cash,1
131,2481,11141.25,22,0.1688,cash,1
132,4496,10863.73,29,0.118,cash,1
133,3985,17189.31,21,0.084,cash,1
134,2561,31936.53,16,0.26,home_improvement,1
135,3748,2000.0,46,0.0785,cash,1
136,2349,2000.0,44,0.1025,cash,1
137,3116,35618.11,47,0.1417,cash,0
138,2854,6226.55,39,0.183,cash,0
139,3020,16352.1,16,0.1325,cash,1
140,2333,6493.16,37,0.1418,home_improvement,1
141,3713,17276.9,35,0.1706,cash,1
142,3072,18774.87,55,0.3003,auto,1
143,1360,34496.0,54,0.111,cash,1
144,4746,26486.07,11,,auto,1
145,2464,8451.88,35,0.1346,education,1
146,3030,2828.26,57,0.174,cash,1
147,2651,24497.11,44,0.2663,cash,1
148,1604,15323.49,32,0.1345,cash,1
149,405,13492.07,43,,cash,1
150,1067,30663.05,7,0.032,cash,1
151,4787,4192.02,33,0.1432,cash,1
152,4831,16703.18,56,0.1393,cash,1
153,812,25676.99,30,0.191,cash,1
154,2897,9377.26,57,0.1141,cash,0
155,1287,31682.95,49,0.0789,cash,1
156,2834,10895.08,57,0.1515,auto,1
157,3277,19366.25,13,0.062,cash,1
158,167,13760.22,51,0.0998,cash,1
159,4752,2000.0,17,0.1427,cash,1
160,4592,16214.71,21,0.03,auto,0
161,4760,27130.45,13,0.1272,cash,1
162,2349,10689.16,21,0.219,home_improvement,1
163,3590,14346.13,41,0.0595,auto,1
164,4999,15351.88,24,0.1058,cash,1
165,956,24824.58,7,0.1694,cash,0
166,840,16762.27,18,0.1808,home_improvement,1
167,4011,20208.51,13,0.1429,cash,1
168,1632,20326.11,55,0.1307,auto,1
169,907,15289.14,47,0.2227,auto,1
170,1051,35206.61,35,0.1506,cash,0
171,3440,10772.34,52,0.0871,auto,0
172,1895,26326.71,20,0.146,cash,1
173,1536,31482.23,55,,auto,1
174,4884,18755.29,48,0.1181,home_improvement,0
175,4889,20547.59,19,0.0559,home_improvement,1
176,2074,24773.29,40,0.1396,cash,0
177,1154,16658.69,58,0.1691,home_improvement,0
178,4136,2935.15,26,0.1775,auto,1
179,3755,17755.64,17,0.1406,cash,0
180,3777,34812.22,56,0.1418,cash,0
181,1079,25119.62,23,0.112,cash,1
182,1490,20694.25,36,0.1884,home_improvement,1
183,401,26806.22,11,0.0805,auto,1
184,2900,18700.44,40,0.1139,home_improvement,1
185,226,20265.28,60,0.0997,home_improvement,1
186,4259,16119.0,7,0.1344,home_improvement,1
187,1579,24297.55,21,0.2056,home_improvement,1
188,3057,15174.78,40,0.0806,cash,1
189,814,17162.47,38,0.154,cash,1
190,1325,27910.75,28,0.1551,cash,1
191,1353,18251.23,23,0.0918,auto,1
192,4316,25087.3,47,0.1304,auto,1
193,4897,25831.47,32,,education,1
194,2781,19309.64,8,0.145,auto,0
195,522,16854.37,13,0.1341,auto,0
196,4901,8122.19,27,0.2152,home_improvement,1
197,1448,10132.49,41,0.1017,home_improvement,0
198,3279,25481.94,9,0.1314,cash,1
199,1139,25315.55,60,0.1213,cash,1
200,2245,11091.3,57,0.2078,education,1
201,185,23567.68,9,0.1154,auto,1
202,2180,21947.1,29,0.0954,cash,1
203,3374,28419.61,26,0.1012,cash,1
204,4401,39489.42,13,0.1004,auto,0
205,4754,25173.44,34,0.1109,home_improvement,1
206,4903,13782.85,46,0.0972,home_improvement,1
207,4843,26690.51,35,0.1408,cash,0
208,2052,10622.55,54,0.0751,home_improvement,1
209,1309,39992.53,41,0.1688,education,1
210,816,8962.49,48,0.1421,auto,1
211,823,23946.66,52,0.2211,auto,1
212,199,20016.83,52,0.1633,cash,0
213,3547,16276.88,37,0.1583,cash,1
214,1612,15710.57,52,0.2405,cash,1
215,2541,32256.17,26,0.1617,cash,0
216,1710,25098.06,60,0.1293,cash,1
217,2695,18628.82,42,0.0965,auto,1
218,2130,35589.8,25,0.2126,cash,1
219,2929,18931.87,9,0.0896,education,1
220,726,26613.89,25,0.083,home_improvement,1
221,4521,7936.38,32,0.0832,cash,1
222,2464,8417.2,12,0.1024,home_improvement,1
223,3484,26387.77,37,0.1422,cash,1
224,4717,22772.54,53,0.1269,home_improvement,1
225,447,39320.6,23,0.1663,auto,0
226,1163,13652.12,57,0.0855,cash,1
227,2710,26081.46,28,0.0964,auto,0
228,3424,17788.36,21,0.1477,auto,1
229,2371,27634.06,52,0.0918,home_improvement,1
230,190,26919.24,39,0.0719,home_improvement,1
231,3459,19752.27,40,0.0635,,1
232,3220,13335.16,19,0.1376,auto,1
233,79,16947.07,38,0.1366,home_improvement,1
234,4688,9984.96,53,0.1342,home_improvement,1
235,4447,23283.09,16,0.2008,auto,0
236,1412,2000.0,6,0.1551,cash,1
237,3055,14769.92,48,0.14,education,0
238,4082,28136.93,44,0.2074,home_improvement,1
239,2244,27921.65,17,0.1888,cash,1
240,413,5491.15,35,0.1035,home_improvement,1
241,2021,25246.09,12,0.1817,cash,0
242,1792,9729.37,21,0.2286,auto,1
243,4069,16595.18,15,0.2288,home_improvement,1
244,34,26893.64,56,0.1888,cash,1
245,4748,11223.74,25,0.1594,auto,1
246,1776,32842.39,32,0.1545,home_improvement,0
247,1926,22312.19,19,0.2129,home_improvement,0
248,1550,24164.38,34,0.0731,auto,0
249,113,29695.02,36,0.2034,cash,1
250,3464,28014.28,10,0.1465,home_improvement,0
251,3708,27229.06,49,0.0939,cash,1
252,1473,14080.39,28,0.0809,auto,0
253,622,10001.65,31,0.0547,auto,1
254,4116,17459.48,14,0.1682,home_improvement,0
255,3460,24269.67,9,0.2361,cash,1
256,1458,8429.68,36,0.115,home_improvement,1
257,3349,25245.7,7,0.0973,auto,1
258,1117,23370.23,37,0.2004,auto,1
259,3175,18363.73,48,0.1457,auto,1
260,2473,20553.71,19,0.2027,cash,1
261,952,20585.99,21,0.0912,auto,1
262,3283,23974.52,57,0.1726,cash,1
263,908,26717.76,31,0.2308,education,1
264,4444,45842.91,22,0.0875,cash,1
265,511,21521.71,54,0.124,education,1
266,4068,14203.01,41,0.1219,cash,1
267,1437,2844.34,38,0.1775,cash,1
268,2623,7328.33,59,0.203,auto,1
269,4266,13183.67,39,0.1059,cash,1
270,4892,26204.97,50,0.2649,auto,1
271,2499,16446.13,44,0.1428,auto,1
272,1483,23660.55,47,0.1116,cash,1
273,3726,13411.55,43,0.2114,home_improvement,1
274,4998,24098.97,9,0.147,cash,1
275,1494,27851.74,16,0.1212,auto,1
276,1926,16380.13,34,0.1129,auto,1
277,4149,23914.83,44,0.2451,auto,1
278,1313,16036.36,47,0.0903,cash,1
279,2821,8913.15,50,0.1963,home_improvement,1
280,1914,24983.26,42,0.0994,cash,1
281,2546,23714.73,8,0.1089,cash,1
282,2930,25341.12,37,0.1359,cash,0
283,2581,28599.79,45,0.1633,cash,0
284,2370,17760.72,56,0.0578,home_improvement,1
285,1912,18423.66,39,0.1128,auto,1
286,251,17436.06,36,0.1915,cash,1
287,3910,23107.59,14,0.1912,home_improvement,1
288,1781,18751.27,52,0.1255,auto,1
289,367,21133.22,28,0.0812,cash,1
290,2460,13514.21,54,0.1508,home_improvement,0
291,4107,10751.64,15,0.1817,home_improvement,1
292,3317,11821.46,49,0.1491,cash,1
293,2976,23749.32,22,0.2103,auto,0
294,4766,19614.24,14,0.1265,,1
295,3363,15558.16,56,0.0741,cash,1
296,4780,25970.04,48,0.1103,cash,1
297,4475,33120.45,53,0.1401,cash,1
298,2571,15547.05,49,0.1048,cash,1
299,355,10244.06,38,0.114,cash,1
300,2846,28506.12,43,0.1881,cash,1
301,4736,20138.86,8,0.0994,education,1
302,3491,18349.61,26,,cash,1
303,1110,29159.78,23,0.1805,home_improvement,1
304,4177,17637.09,21,0.1723,home_improvement,1
305,4196,23573.55,25,0.0881,cash,1
306,3727,21442.39,41,0.1754,cash,1
307,787,49200.5,40,0.0835,auto,1
308,3603,18791.37,46,0.1038,cash,0
309,4327,28431.35,29,0.0848,auto,1
310,2237,17744.08,56,0.1171,cash,1
311,3427,24050.38,34,0.1682,cash,1
312,4345,18236.18,24,0.1535,auto,1
313,3670,27158.62,54,0.0993,cash,1
314,3313,19138.89,21,0.1495,cash,1
315,2083,24531.5,51,0.1591,cash,1
316,796,13196.04,46,0.1878,cash,1
317,1353,12830.26,58,0.158,home_improvement,0
318,2992,3061.36,59,0.1769,auto,1
319,3682,23292.22,13,0.1432,home_improvement,1
320,1553,14159.07,21,0.0993,home_improvement,1
321,1907,39759.47,33,0.1481,education,0
322,1016,15749.11,21,0.2008,cash,1
323,1753,31217.62,14,0.2034,auto,1
324,3245,30299.28,55,0.03,home_improvement,0
325,4,17785.9,6,0.1714,home_improvement,0
326,3212,13369.39,20,0.1153,home_improvement,1
327,313,18787.78,53,0.16,cash,1
328,4774,30214.08,28,0.0717,cash,0
329,3696,40569.38,20,0.1185,cash,1
330,4882,8886.5,60,0.0598,cash,1
331,1847,20128.5,42,0.1184,cash,1
332,2044,14559.3,50,0.1704,cash,1
333,2402,16744.52,25,0.1623,cash,0
334,893,35361.77,19,0.2473,cash,0
335,3596,13073.85,29,0.1142,home_improvement,1
336,703,5533.4,58,0.0961,home_improvement,1
337,4228,21818.22,38,0.2093,cash,1
338,4872,23416.22,52,0.0542,home_improvement,1
339,1291,16210.32,58,,home_improvement,1
340,1980,13867.77,59,0.1651,cash,1
341,171,21443.05,57,0.03,home_improvement,1
342,1714,7850.87,28,0.0855,cash,1
343,1051,23795.9,58,0.0717,cash,0
344,3106,16870.58,42,0.1817,cash,1
345,3937,32483.05,55,0.1079,auto,1
346,287,22865.73,26,0.127,cash,1
347,863,18618.77,6,0.0593,cash,1
348,3234,17932.72,30,0.0995,auto,1
349,2288,2596.57,22,0.1005,home_improvement,1
350,4379,18883.0,42,,home_improvement,0
351,3940,18170.78,40,0.1247,cash,1
352,3622,20462.76,28,0.2135,home_improvement,1
353,4857,18287.32,42,0.1746,cash,1
354,2088,32854.78,29,0.0512,home_improvement,0
355,3281,17579.64,46,0.1909,cash,1
356,581,12404.84,35,0.184,education,1
357,486,5017.59,21,0.1434,cash,1
358,1207,15986.71,11,0.1893,cash,1
359,1482,10576.67,11,,home_improvement,1
360,1328,8318.7,60,0.1157,auto,1
361,3357,17194.22,49,0.079,auto,0
362,1925,30244.58,51,0.1682,auto,1
363,3507,28415.21,41,0.0992,cash,0
364,667,8462.05,32,0.1532,cash,1
365,1769,20330.19,51,0.0881,cash,1
366,2879,23808.25,47,0.1887,auto,1
367,4967,25262.22,20,0.102,cash,0
368,1832,34432.97,60,0.1295,cash,0
369,2843,9472.9,12,0.1262,cash,1
370,2482,12027.58,34,0.0692,cash,1
371,63,14036.54,12,0.194,cash,0
372,1426,23297.21,45,0.2043,cash,1
373,1438,2000.0,26,0.1328,cash,1
374,2270,17942.01,10,0.102,home_improvement,0
375,926,3958.46,50,0.1283,cash,0
376,3564,19979.06,58,0.1147,cash,1
377,2375,38630.71,25,0.1389,cash,1
378,442,28109.03,15,0.1244,cash,0
379,1783,8963.92,22,0.0946,education,1
380,2551,16232.29,50,0.1966,home_improvement,1
381,1092,11991.96,53,0.1293,cash,1
382,3092,31651.15,32,0.2366,cash,0
383,3807,2000.0,35,0.1452,cash,1
384,3339,16046.92,41,0.1198,home_improvement,1
385,3354,13731.0,26,0.1259,cash,1
386,4614,9441.15,38,0.1216,cash,0
387,2623,34926.82,9,0.1347,auto,0
388,3906,5904.41,28,0.1512,auto,1
389,1715,9251.48,45,0.0839,cash,0
390,3695,34359.8,58,0.0889,cash,1
391,2907,19103.69,55,0.179,auto,1
392,4340,18420.41,23,0.1656,auto,0
393,384,14371.9,17,0.0612,cash,1
394,4573,19980.36,18,0.1661,education,0
395,1157,16137.55,17,0.182,cash,1
396,4197,13388.46,55,0.1526,cash,1
397,1899,7387.24,7,0.0573,auto,1
398,3070,20362.25,22,0.0731,auto,1
399,1672,14626.56,41,0.1376,home_improvement,1
400,4216,15777.86,11,0.2341,cash,1
401,3629,25936.98,27,0.1131,home_improvement,1
402,1633,15448.55,14,0.1703,cash,1
403,666,19010.89,21,0.1078,cash,0
404,4760,35063.25,25,0.225,home_improvement,1
405,4870,23452.74,42,0.1421,cash,1
406,868,15142.18,54,0.0794,home_improvement,1
407,1588,10125.61,60,0.0992,home_improvement,1
408,1147,18806.38,42,0.0952,auto,1
409,1137,27089.42,46,0.1458,cash,1
410,793,14689.06,12,0.1052,cash,1
411,3648,19610.21,40,0.1152,home_improvement,1
412,3886,14459.75,35,0.2373,cash,1
413,3032,16330.38,59,0.1107,cash,0
414,2173,8503.63,40,0.1488,cash,1
415,4898,21893.52,49,0.1264,cash,1
416,3691,20753.19,50,0.1375,cash,1
417,296,32726.34,12,0.1733,cash,1
418,2551,20390.06,37,0.0301,home_improvement,0
419,852,12997.7,55,0.1475,cash,1
420,2017,32481.67,24,0.1212,auto,1
421,1971,22689.44,49,0.1488,auto,1
422,4482,21111.55,60,0.1298,education,0
423,4103,19279.09,59,0.1303,cash,1
424,2161,20765.25,20,0.1548,home_improvement,0
425,3855,11613.61,23,0.1125,cash,0
426,3092,18623.13,59,0.2384,home_improvement,1
427,2771,17385.13,27,0.0919,home_improvement,1
428,4293,22569.21,17,0.212,home_improvement,0
429,3117,29407.37,39,0.0779,cash,0
430,1063,28053.27,34,0.1268,cash,1
431,1978,23960.18,6,0.1555,home_improvement,0
432,2014,3847.59,12,0.0934,auto,1
433,4220,15445.64,40,0.0899,cash,1
434,725,2960.98,55,0.126,cash,1
435,2384,29098.61,41,0.1848,cash,0
436,2714,18275.5,32,0.1441,,1
437,4769,18034.87,60,0.2347,cash,1
438,3948,13188.44,54,0.1682,education,0
439,1305,30736.31,26,0.1171,auto,1
440,276,20275.32,51,0.03,education,1
441,634,18331.42,55,0.0625,cash,1
442,302,20488.26,16,0.1267,auto,1
443,2031,21179.05,40,0.0618,home_improvement,1
444,3706,18148.68,9,0.1304,auto,1
445,3286,30724.5,36,0.1512,auto,1
446,3548,30632.04,56,0.1254,cash,0
447,2654,20206.54,55,0.1264,cash,0
448,2011,12362.12,36,0.2379,auto,1
449,4122,22304.4,38,0.1433,cash,1
450,1804,14005.15,52,0.1331,home_improvement,1
451,2921,32205.69,6,0.0903,home_improvement,1
452,1411,33500.2,43,0.1398,cash,1
453,1826,25848.57,23,0.1161,auto,1
454,309,8921.07,48,0.2301,auto,1
455,3040,15173.98,12,0.1685,auto,0
456,2568,17564.75,32,0.211,auto,1
457,1578,11803.9,47,0.1504,cash,1
458,3081,16644.47,46,0.2023,cash,1
459,653,21466.19,46,0.09,education,1
460,4327,24118.2,56,0.1525,cash,1
461,164,30965.13,25,0.0965,cash,1
462,2710,19181.54,45,0.118,education,1
463,1337,16676.71,50,0.1421,cash,0
464,760,7785.68,57,0.0921,home_improvement,0
465,857,22505.59,18,0.0669,cash,1
466,1541,15306.31,19,0.1892,cash,0
467,3166,17506.52,30,0.056,auto,0
468,3926,14293.61,50,0.2245,cash,1
469,4662,14548.36,54,0.0992,home_improvement,1
470,3091,25848.65,35,0.1683,,1
471,2481,18878.01,45,0.1713,cash,1
472,3856,33449.02,9,0.0847,,1
473,4061,9329.16,47,0.163,cash,1
474,2068,30646.27,41,0.1486,cash,1
475,2089,14954.65,24,0.1716,cash,1
476,338,18895.61,40,0.2005,cash,0
477,80,23843.15,58,0.1807,auto,1
478,4461,28632.53,60,0.0966,education,1
479,4332,28987.21,41,0.1332,auto,1
480,1747,28812.55,41,0.0988,auto,1
481,4718,17523.88,42,0.1112,cash,0
482,417,35711.7,13,0.1644,auto,1
483,4790,24932.46,25,0.1703,cash,1
484,2935,2000.0,60,0.1691,auto,0
485,2611,19932.25,9,0.1544,cash,0
486,3720,16205.63,23,0.162,cash,0
487,1138,16817.34,55,,cash,1
488,2391,25366.57,44,0.2076,cash,1
489,1150,22400.92,27,0.1734,auto,1
490,3070,13552.95,38,0.1389,cash,1
491,2083,33167.22,47,0.1963,cash,0
492,2087,8074.09,25,0.1142,cash,1
493,3731,7466.22,57,0.146,cash,1
494,4069,9865.38,28,0.1847,cash,1
495,4294,23638.61,54,0.0791,cash,1
496,3919,22946.53,41,0.2511,auto,1
497,891,12328.95,8,0.1106,cash,0
498,3600,14283.34,53,0.1174,auto,1
499,3543,19603.17,12,0.141,auto,1
500,100,10023.53,58,0.177,cash,0
501,968,26827.83,6,0.1818,cash,0
502,2582,33736.49,60,0.215,cash,1
503,1524,18042.35,31,0.1368,cash,1
504,3927,22760.74,12,0.1565,cash,1
505,3840,20617.47,17,0.0631,home_improvement,1
506,1225,31948.6,16,0.0865,cash,1
507,92,37109.69,35,0.1354,cash,1
508,1297,16423.24,17,0.1579,home_improvement,1
509,4516,19933.06,49,0.1377,auto,0
510,4522,27366.13,59,0.1662,education,1
511,2523,22747.12,22,0.1372,cash,0
512,4209,11436.99,11,0.1283,home_improvement,1
513,2832,3361.32,8,0.26,home_improvement,1
514,4941,14267.68,44,0.1268,education,0
515,768,22594.18,47,0.1906,cash,1
516,2488,16096.85,58,0.0747,cash,1
517,906,10150.78,13,0.1462,cash,1
518,622,14421.08,37,0.1063,auto,1
519,774,36120.73,16,0.239,cash,0
520,42,9486.99,6,0.1121,cash,0
521,4721,16811.03,29,0.1385,cash,0
522,3531,14998.81,9,0.0988,cash,1
523,2494,37249.85,14,0.0958,home_improvement,1
524,4084,6391.88,45,0.1362,cash,1
525,2836,12576.89,17,0.1581,home_improvement,1
526,2142,20227.42,27,0.1929,cash,1
527,2423,21166.72,58,0.111,auto,1
528,2129,29749.71,33,0.1102,cash,1
529,2026,28819.98,13,0.2043,cash,0
530,4202,13320.08,8,0.2197,home_improvement,1
531,4856,22477.51,28,0.1358,cash,1
532,931,18098.54,55,0.1633,cash,0
533,3683,15537.09,8,0.2235,education,0
534,318,28802.22,55,0.2724,cash,1
535,3978,21946.68,32,0.1609,,1
536,4829,34007.79,39,0.1777,cash,1
537,3619,23941.15,36,,cash,0
538,2712,28002.49,32,0.066,auto,0
539,4748,2000.0,23,0.1573,cash,1
540,3862,20472.32,27,0.2086,auto,1
541,3932,23563.58,46,0.1023,home_improvement,1
542,4774,24394.6,16,0.0473,cash,1
543,2712,33595.66,49,0.1695,auto,1
544,4053,25255.79,57,0.0522,cash,1
545,4498,8783.31,33,0.0614,auto,0
546,2339,24548.03,32,0.0583,cash,0
547,3643,27238.35,50,0.0399,cash,1
548,3241,14216.03,11,0.1929,cash,1
549,4950,16004.69,48,0.1469,auto,1
550,3162,26797.99,49,0.2428,cash,1
551,3619,19751.52,24,0.1767,cash,0
552,4628,29577.15,59,0.2431,cash,1
553,54,21409.44,33,0.1078,cash,1
554,706,2000.0,21,0.1581,cash,1
555,1642,20273.55,20,0.0763,cash,0
556,3479,16174.74,43,0.1261,cash,0
557,2194,25302.37,56,0.2117,cash,0
558,4315,23572.74,60,0.138,cash,1
559,391,11283.09,55,0.1283,auto,0
560,1796,21552.48,12,0.1389,cash,1
561,735,24592.27,45,0.1472,cash,0
562,3542,23765.57,50,0.1472,auto,1
563,1351,28563.08,18,0.2067,auto,1
564,1250,10568.76,33,0.1039,cash,0
565,3046,18365.38,8,0.1297,home_improvement,0
566,441,2000.0,42,0.1449,cash,0
567,4643,30390.78,38,0.0948,cash,1
568,128,20869.31,15,0.1177,home_improvement,1
569,1718,18993.95,15,,cash,1
570,2650,18847.49,17,0.0988,education,1
571,46,24322.21,40,0.2787,auto,1
572,259,29366.07,36,0.2218,cash,1
573,4903,17379.35,34,0.1488,cash,0
574,2963,23685.54,19,0.1688,home_improvement,1
575,155,23580.75,49,0.1785,home_improvement,1
576,1878,2000.0,38,0.168,auto,1
577,1665,13627.93,22,0.1448,cash,1
578,35,23919.47,10,0.2776,auto,1
579,2856,31104.66,53,0.1041,cash,1
580,1133,32231.66,49,0.1207,,0
581,3237,8977.98,22,0.1436,education,1
582,3693,28994.73,21,0.1723,cash,0
583,2086,29298.4,59,0.2406,auto,1
584,1894,23714.59,46,0.1399,cash,1
585,3183,2000.0,13,0.1689,auto,0
586,3628,15165.83,14,0.1593,cash,1
587,1979,20974.82,35,0.1359,cash,0
588,4075,17876.66,49,0.2021,cash,1
589,1435,2000.0,8,0.1614,home_improvement,1
590,3985,17648.44,6,0.1894,home_improvement,1
591,1854,11624.0,39,0.1253,cash,1
592,3354,25317.47,15,0.113,auto,0
593,4987,24319.37,36,0.1228,cash,1
594,3733,24707.72,24,0.1549,cash,1
595,1595,16675.63,52,0.1959,auto,1
596,2849,20182.55,48,0.2448,cash,1
597,1004,19244.81,13,0.1487,cash,0
598,2324,28222.68,7,0.2332,cash,1
599,3094,15200.05,29,0.1713,auto,1
600,309,13185.26,46,0.1066,home_improvement,0
601,1999,28653.79,32,0.1459,home_improvement,1
602,4876,27387.77,18,0.1785,education,0
603,4978,24193.4,8,0.1823,home_improvement,0
604,4202,34214.13,60,,cash,1
605,3577,38795.68,54,0.1222,home_improvement,0
606,3360,31075.86,21,0.1232,cash,1
607,2658,13273.92,32,0.1301,cash,1
608,3221,27479.87,14,0.1553,home_improvement,0
609,1198,20992.1,27,0.2344,auto,1
610,2885,14939.28,43,0.1189,auto,1
611,2784,13329.87,40,0.058,auto,0
612,473,22423.46,21,0.0548,home_improvement,1
613,1411,27351.59,25,0.1808,cash,1
614,1598,32413.9,35,0.1127,cash,0
615,3428,26067.03,34,0.1535,education,1
616,1699,25165.38,48,0.1046,education,1
617,1066,18147.19,32,0.1326,auto,1
618,3969,21948.72,49,0.1237,cash,1
619,2532,6545.97,20,0.1057,home_improvement,1
620,3025,25087.26,18,0.2018,home_improvement,1
621,1699,23885.45,58,0.2055,cash,1
622,1991,37227.98,17,0.172,auto,0
623,2893,19642.71,51,0.2422,education,0
624,1641,30721.45,20,0.0742,cash,0
625,4771,15730.61,11,0.1295,cash,0
626,4270,35273.3,27,0.1225,home_improvement,1
627,4832,33045.35,11,0.1755,auto,0
628,3929,30187.47,47,0.077,home_improvement,0
629,429,20542.05,60,0.1734,auto,0
630,4066,17999.88,35,0.0679,cash,1
